mjd uJy duJy filter instrument A_mw uJy.0 duJy.0
59250.164293999784 -3.0195237927648435 12.731976964077601 r.ztf ZTF 0.32032 -4.0557059139332745 17.101092030803276
59250.20309029985 2.0309790243019274 11.044057718282188 g.ztf ZTF 0.45584 3.0905903062710314 16.806011936904426
59251.13519679988 8.074214309264205 9.489778214850928 g.ztf ZTF 0.45584 12.286728802402985 14.440826915758539
59251.20004054997 -12.162610530860409 7.078646638598312 r.ztf ZTF 0.32032 -16.336341371799644 9.507760496405826
59252.16540510021 -8.679580192483892 9.480926911638717 r.ztf ZTF 0.32032 -11.658071647411093 12.734409126776125
59252.236851899885 4.615865772357029 9.597197408447672 g.ztf ZTF 0.45584 7.024075502699096 14.604289322048853
59253.15738430014 -12.733944742786612 10.123576910872705 r.ztf ZTF 0.32032 -17.103735073976697 13.59759139701614
59253.17767360015 -2.5258244252941515 8.194392100553047 g.ztf ZTF 0.45584 -3.8436086196605705 12.469606277917052
59254.13986109989 0.3630854032360672 7.236422688763332 g.ztf ZTF 0.45584 0.5525159118645225 11.011840864116639
59254.1646412001 -22.887123236415043 10.182853720954942 r.ztf ZTF 0.32032 -30.741086155792093 13.67720968311333
59255.13666664995 -7.416557461465778 7.181694638029104 r.ztf ZTF 0.32032 -9.961629058716694 9.646170527057636
59255.158790550195 -1.2669790267666456 5.591117002422307 g.ztf ZTF 0.45584 -1.9279928800444306 8.50813908078289
59256.16989579983 -13.5270199478625 9.891818147493593 r.ztf ZTF 0.32032 -18.168962580091144 13.286302117065853
59256.26296300022 11.52160725876009 12.243204843211924 g.ztf ZTF 0.45584 17.532710717593446 18.630783357857155
59257.134803249966 -7.949059054835679 7.456273106937402 r.ztf ZTF 0.32032 -10.676864310905811 10.014973555819482
59257.16173609998 -0.27121904855983436 4.9571854959609665 g.ztf ZTF 0.45584 -0.4127206398122133 7.543470049115946
59260.18024310004 5.152419428461131 11.871330158451723 g.ztf ZTF 0.45584 7.840562284939294 18.0648925819726
59260.22418980021 29.658997533786174 42.37437111118066 r.ztf ZTF 0.32032 39.83680207698131 56.915593090079945
59263.1521528 19.04470459496772 16.17316239163273 g.ztf ZTF 0.45584 28.980791383226272 24.6110955904666
59265.15627310006 24.206165637337428 10.866657991889964 g.ztf ZTF 0.45584 36.83511251252808 16.536058447398847
59265.22262729984 11.719783826086092 16.958219500088898 r.ztf ZTF 0.32032 15.741553912365092 22.777615225648738
59267.161064799875 11.541230127559295 20.850460727001657 r.ztf ZTF 0.32032 15.50172758849079 28.005520963722304
59267.22019679984 37.18691483693028 27.910794929042176 g.ztf ZTF 0.45584 56.58823510235208 42.47253724231116
59269.15942130005 31.359080963857064 13.496574183160725 r.ztf ZTF 0.32032 42.1202874524037 18.12806902321602
59269.24762730021 48.21424623713214 28.246410335450527 g.ztf ZTF 0.45584 73.36879419316597 42.98325139015293
59271.13807869982 68.18029337456717 18.13648096584942 r.ztf ZTF 0.32032 91.5770956054436 24.360209807713286
59271.21560190013 53.20713897679516 34.781911857092496 g.ztf ZTF 0.45584 80.96660082573686 52.92848342244767
59276.14263889985 80.48208577289132 12.84756407929092 r.ztf ZTF 0.32032 108.10038060204182 17.25634410991205
59276.17665510019 119.19592151076114 13.108761091752534 g.ztf ZTF 0.45584 181.38334033007544 19.947921407666108
59279.14604170015 96.03229202242922 15.753623828003448 r.ztf ZTF 0.32032 128.9868076605898 21.159649570639953
59291.194618099835 239.80226006808206 20.576539765353804 r.ztf ZTF 0.32032 322.0929891869303 27.637601072921164
59293.18187499978 284.64665692923194 24.083659713697458 r.ztf ZTF 0.32032 382.32622397459227 32.3482270164732
59299.07834946307 567.6824876039608 27.758076611525297 UVW1.uvot UVOT 0.7638400000000001 1147.206230290828 56.09515728420324
59299.07978559368 551.8474171243955 41.6001031945188 U.uvot UVOT 0.616 973.2379028081383 73.36592676397218
59299.083140290466 587.3428588282736 22.361097732195955 UVW2.uvot UVOT 0.96096 1423.2319767308898 54.18475571620224
59299.08745085517 528.6805681043317 19.491509073935568 UVM2.uvot UVOT 1.05952 1402.8180587616732 51.71939838734126
59301.31411254736 563.573868381341 30.13876096967249 UVW1.uvot UVOT 0.7638400000000001 1138.9032904027645 60.90618455324899
59301.31521973561 598.7170488272576 44.35587173198811 U.uvot UVOT 0.616 1055.8971681202397 78.22599914776067
59301.44405564216 636.8119242589584 23.985110379750136 UVW2.uvot UVOT 0.96096 1543.1039641428085 58.12001549824088
59301.44752494463 578.9543295070965 23.068592736545266 UVM2.uvot UVOT 1.05952 1536.216077589096 61.210947466973714
59303.142899300205 370.65138263899394 12.518588343246039 r.ztf ZTF 0.32032 497.8443979075426 16.814476805731584
59304.03132419055 639.5509452423629 30.62321650048665 UVW1.uvot UVOT 0.7638400000000001 1292.4422454304856 61.88520084384237
59304.03373547073 650.2639274931872 43.48864195877712 U.uvot UVOT 0.616 1146.8052244640576 76.69655303722034
59304.039377199806 677.5624093999187 25.703095910005885 UVW2.uvot UVOT 0.96096 1641.8493436909898 62.28298761149483
59304.04676485009 608.2565632061089 25.51623557019598 UVM2.uvot UVOT 1.05952 1613.9675688958796 67.7056018492135
