phase T eT R eR L eL chi2
-21.5 28527.53329287987 2618.296282718138 242284900378538.06 27440836941159.992 2.7701450135010375e+43 1.1949929642459637e+43 9.871196645269459
-19.2 28392.32594311027 2697.660308482945 251127751133191.88 29164140984573.164 2.920022690379346e+43 1.3006034651427677e+43 21.074243456995593
-16.7 27545.208134822842 1770.8377902033887 270434270655665.4 20362642374101.465 2.9998573889428526e+43 8.939676142875353e+42 21.95221071659984
-14.7 27348.08399807748 1255.0352525822782 280334687311368.16 13615107612413.705 3.1322341539613214e+43 6.505034059580381e+42 11.586142786786198
74.7 26712.731382980277 1486.3096874095506 175459646872211.9 12314748833358.91 1.116916258578598e+43 2.938953301830842e+42 5.229326905246367
82.4 29041.939592629707 5015.828527572618 144629884719291.28 30928347209557.625 1.0602577948340145e+43 8.614732293464405e+42 12.906416624007822
88.6 33603.17941875156 8376.619007147316 118331803699100.5 33511512697185.63 1.2720886418222331e+43 1.4587815348762654e+43 11.47704845785424
95.4 27171.859859484193 4822.424431355324 142309108527288.3 32978234759422.348 7.865671110859564e+42 6.66861459826374e+42 9.215874746427504
102.3 22157.887518068343 1508.7546190691132 179030758217105.47 17218632438161.828 5.505054697401941e+42 1.8356064723149253e+42 7.517684986635205
111.5 22414.043382578344 1064.7032504912447 169820463783281.22 10193914815407.121 5.186254215716581e+42 1.1656468935276047e+42 7.2517897675163
119.3 24309.46186199761 890.1860067502048 155793556508715.0 6803372566464.322 6.039392928768553e+42 1.0299439316050815e+42 4.0195066568458
125.1 22825.835509712142 1757.128979842637 166539489051569.22 17565618679447.225 5.3645600590701065e+42 2.002307480213755e+42 11.942366206802312
133.6 21440.939798757245 1579.270519135589 181837305756551.25 18652258814875.875 4.978908767722165e+42 1.7875114318323153e+42 14.967962367377819
139.2 21770.67673828578 1127.0991327385645 180243629475492.66 11563316650343.377 5.1999658057806116e+42 1.266779858259285e+42 10.896966461424864
147.0 23228.429458474886 1265.1770331553682 165475325281937.9 11310606870023.863 5.679875252692649e+42 1.4608892554128272e+42 8.718100409308018
153.3 24681.64085626443 2156.0512973648715 150780771200843.8 17764719523807.688 6.011473788254666e+42 2.5335158562084842e+42 10.595485441803937
157.9 24693.330975258898 2661.949387796312 146928732591142.6 21465478020218.277 5.719065856787129e+42 2.9789087289169827e+42 15.35118806304142
163.6 24076.32203482481 1796.921013800877 149802239469242.1 14733140831544.734 5.37266929587627e+42 1.9208023964433065e+42 10.238080706541039
168.6 26767.670308649886 2289.8285675226243 130896403214079.03 14364187930090.525 6.267446671781213e+42 2.5478141735052377e+42 5.073772669523269
178.0 21637.368904553798 2008.3967436122311 164657231217671.94 18277408087228.617 4.234209458191512e+42 1.831693333791526e+42 7.589478634748
183.1 22805.078769529933 2599.010466309718 151285289875479.5 24635236460673.93 4.4107519316359627e+42 2.4711236335737607e+42 13.148940092784585
190.2 22389.147779659175 2297.107802542218 155406477322331.12 22751651889978.766 4.3239574032818325e+42 2.17988499604545e+42 12.946518132826286
197.3 20230.324231576964 1428.013884013359 176428768780864.06 16609174540126.908 3.714865571721029e+42 1.2607153871622735e+42 16.329066708495205
204.1 22517.266662624228 2040.948440355226 153250248188000.44 18157441296522.105 4.3018769132855264e+42 1.8632631833622095e+42 15.505919594515866
210.5 22223.00277325308 2575.9649809949715 159257329664145.8 26390944514259.613 4.407605777448453e+42 2.5120292317570493e+42 19.782675092379737
302.0 24515.046287245787 1531.0577913826942 121877865666559.31 8214047966198.805 3.822728669716806e+42 1.085118903498006e+42 1.3656480772304158
