phase UVW2.uvot-lum UVW2.uvot-elum UVM2.uvot-lum UVM2.uvot-elum UVW1.uvot-lum UVW1.uvot-elum U.uvot-lum U.uvot-elum g.ztf-lum g.ztf-elum r.ztf-lum r.ztf-elum
-21.5 1.564996429207861e+43 5.617688186941077e+41 1.3963683379209306e+43 4.8999846727312005e+41 9.955523048572461e+42 4.412712144723161e+41 6.365607155093171e+42 4.046108768695454e+41 3.9330660023274144e+42 2.6911768387856794e+42 1.5663898474492394e+42 1.1622717458292194e+41
-19.2 1.6736570730756286e+43 4.671934287430344e+41 1.4932663124482896e+43 4.285761786025311e+41 1.0383811766016961e+43 3.626083085030584e+41 6.764091486088696e+42 3.1392821137435784e+41 4.258414652154352e+42 3.062354050753226e+42 1.6608210523486558e+42 8.118220349150365e+40
-16.7 1.798067529150318e+43 4.92486541045031e+41 1.5986444683660915e+43 4.678232013565619e+41 1.1194742594200622e+43 3.748085066038508e+41 7.343747906077876e+42 3.2507117179835466e+41 4.585994686700032e+42 3.448651854621114e+42 1.7707860598739643e+42 4.771514652415342e+40
-14.7 1.894171806559635e+43 6.771844764597369e+41 1.6761310738383913e+43 6.520136843512637e+41 1.1881329666424722e+43 5.2061540064535926e+41 7.810048779503123e+42 4.583703078309923e+41 4.825203782009939e+42 3.73923303265682e+42 1.8553330889194136e+42 3.9405717636098584e+40
74.7 6.896182018895787e+42 2.7932821932230714e+41 6.026396294339764e+42 2.736398176176293e+41 4.4979684759916e+42 2.4243727962049293e+41 2.8614827975840065e+42 2.6075728055192883e+41 1.7428567640626734e+42 1.2670709615444687e+42 7.219736247619342e+41 4.0205054612862043e+40
82.4 6.001433024560793e+42 2.8375980910598358e+41 5.269623265404824e+42 2.9859626802887292e+41 3.3549754392029705e+42 2.4944641426453126e+41 2.595949226338759e+42 2.7604619948455136e+41 1.5126345009694483e+42 9.048663212900387e+41 6.005596524241698e+41 6.856348193102086e+40
88.6 5.811427708749481e+42 2.7343547273841467e+41 4.922094221689718e+42 2.8099474131538248e+41 3.2582424135777634e+42 2.2616075538961507e+41 2.3924311865755893e+42 2.6955005461707633e+41 1.3623167564822387e+42 6.171715669983295e+41 5.691931557919505e+41 1.218417815567854e+41
95.4 4.9295507061359843e+42 2.844057528168125e+41 4.1015859289401344e+42 2.5118982474424567e+41 2.857241308232572e+42 2.3677951553960595e+41 2.205684833955528e+42 2.671871233927426e+41 1.2283063825491416e+42 3.1169962445246164e+41 5.677006193564434e+41 1.1407455618327433e+41
102.3 4.2809963608644145e+42 2.538323287585918e+41 3.473161698230048e+42 2.12987020837166e+41 2.776462460895883e+42 2.0576009778230535e+41 1.897544748164882e+42 2.631242122487617e+41 1.1213905866494668e+42 8.789845653157146e+40 5.703495973995739e+41 5.336614093709561e+40
111.5 3.9251487359539945e+42 2.012294388589438e+41 3.1705889409596804e+42 2.053656980924499e+41 2.5886310231695824e+42 1.9925709712138528e+41 1.652403276701411e+42 2.1930290290714445e+41 1.0004394085437586e+42 4.286791903082404e+40 5.044457531167525e+41 2.8590079613968494e+40
119.3 4.141061501751417e+42 2.008534925426812e+41 3.578500560074049e+42 2.1463558787769e+41 2.801691020823222e+42 1.898258756546015e+41 1.684519829137012e+42 2.0501666248840196e+41 9.54356254368858e+41 4.141198917318541e+40 4.895664156345309e+41 2.3888605291387333e+40
125.1 3.976552474463369e+42 1.893087423302629e+41 3.4367891305163535e+42 2.0270817839164414e+41 2.423008358789534e+42 1.8071827101736007e+41 1.7491705306079812e+42 1.956298848889106e+41 1.0377769707399261e+42 6.847715203381178e+40 5.111337547016993e+41 3.781412255020045e+40
133.6 3.92666476415754e+42 1.9707365298831543e+41 3.257266373005265e+42 2.056888755481805e+41 2.4889446499920298e+42 1.8341231454132e+41 1.5599764037114285e+42 2.0828210968723127e+41 1.1359128811525625e+42 7.03311563722206e+40 5.41948093411575e+41 3.367921792839559e+40
139.2 4.032535047997421e+42 2.0055491398648145e+41 3.342643238748549e+42 2.0606684159861237e+41 2.651118740211024e+42 1.8513839798169184e+41 1.5817449410990633e+42 2.034358689455778e+41 1.0656131914167626e+42 3.790728048935201e+40 5.451903296005064e+41 2.518596227356648e+40
147.0 3.848040487069802e+42 2.145223523442939e+41 3.904949388580001e+42 2.0706649937173465e+41 2.7309289530393827e+42 1.790643763514611e+41 1.680298639633625e+42 2.2765906117047438e+41 9.841965088357318e+41 4.571957708373204e+40 5.2349511417422405e+41 2.9792416562772423e+40
153.3 3.9517724110887796e+42 1.812331172806988e+41 3.808399433288545e+42 2.0210514061035513e+41 2.617910517563531e+42 1.6351615939624444e+41 1.6518441648646856e+42 1.8142636803104667e+41 1.03453372564447e+42 8.709839690644009e+40 4.661104693172804e+41 4.482997240732223e+40
157.9 3.7954605512285686e+42 1.7182793495336906e+41 3.633562542278861e+42 1.931716287860784e+41 2.408103632688131e+42 1.587034331156373e+41 1.5248850655861698e+42 1.746646029335995e+41 1.0411511501133337e+42 9.190122573332345e+40 4.465960153361434e+41 4.2577232511767285e+40
163.6 3.6646511927481954e+42 1.7768702115604706e+41 3.409293228782542e+42 1.898427290644758e+41 2.4314636590907414e+42 1.6371484124841204e+41 1.3680718678699424e+42 1.70473229658304e+41 9.38567314893735e+41 5.748414471689454e+40 4.438537128074795e+41 3.5364177719417136e+40
168.6 3.866389608391268e+42 2.0188197741970637e+41 3.2792010730234317e+42 2.1557911318335977e+41 2.6604215455952332e+42 1.9694517230433032e+41 1.2195854555082304e+42 1.9899384892367764e+41 8.54358363798756e+41 1.0108617491259858e+41 4.3650992998028256e+41 4.617844577267281e+40
178.0 3.5523451291287063e+42 4.093762608718455e+41 2.7334879382334294e+42 3.427386810359187e+41 2.3354377121465736e+42 3.131206274742975e+41 1.1048928291312298e+42 2.3705383453350744e+41 8.315827013917503e+41 6.496333546543643e+40 4.932470740211512e+41 3.818186121432448e+40
183.1 3.326321850745037e+42 1.873451542490901e+41 2.6528822253656204e+42 2.057458600433219e+41 2.135210080168857e+42 1.93087105785953e+41 1.0966758219212333e+42 2.0074807716079437e+41 8.65757276415758e+41 7.795463685034287e+40 5.1738043171756924e+41 6.511041634395875e+40
190.2 3.1937968872064216e+42 1.7631515212024326e+41 2.884165912905402e+42 1.9798287502742416e+41 2.1183924156148564e+42 1.7433262369100733e+41 1.0820632313128734e+42 1.7604112544825563e+41 8.946881945445724e+41 7.171604941854162e+40 4.8610357623832625e+41 5.111497948945371e+40
197.3 2.8964654699015505e+42 1.566781022504566e+41 2.6646918489415846e+42 1.8161754118053116e+41 1.9792971805325715e+42 1.6309321825991735e+41 1.0052685314742847e+42 1.725090643645085e+41 9.330387868563525e+41 3.725713648513284e+40 4.445460134100175e+41 2.5115488529278256e+40
204.1 3.174644908700894e+42 1.7604773971439564e+41 2.9549287195245145e+42 2.031301342336129e+41 2.0311943959472646e+42 1.7333579204441025e+41 9.632038341174382e+41 1.7875663083091965e+41 8.115054450007933e+41 4.650965017582729e+40 4.537624730889192e+41 2.921838590692689e+40
210.5 3.30858987767282e+42 1.732207411139169e+41 2.9503616103678756e+42 1.9632192304365188e+41 2.1774501327721855e+42 1.7364555753976808e+41 1.005874524510688e+42 1.7804035925983124e+41 8.382005234895816e+41 8.62991596000052e+40 5.275952257166352e+41 3.884626278143433e+40
302.0 2.6408818981580016e+42 4.383287684574507e+41 2.3135403527321166e+42 4.040394744579123e+41 1.6273560703420266e+42 3.226312473450126e+41 1.2569162679174636e+42 3.488241708060718e+41 6.088380860679145e+41 4.715537445375581e+40 2.771758724661514e+41 4.2118788374051205e+40
