phase T eT R eR L eL
-50.0 28527.53329287987 2618.296282718138 91389454343544.5 3470501978452.327 3.941322522196621e+42 1.4775991267472508e+42
-45.0 28527.53329287987 2618.296282718138 119119530314818.1 1125898817256.9578 6.696004719954427e+42 2.4615308191611203e+42
-40.0 28527.53329287987 2618.296282718138 146035471534868.94 4899327185360.474 1.0063904826573261e+43 3.755916814469952e+42
-30.0 28527.53329287987 2618.296282718138 211030737185762.16 4297254537756.3203 2.1015573134519047e+43 7.76268086559426e+42
-25.0 28527.53329287987 2618.296282718138 235646501308514.7 2549644086694.0317 2.62042538902907e+43 9.63694735495255e+42
-10.0 27314.68179124351 1267.1939756660386 288970989767668.6 1749783210122.631 3.3119669605828937e+43 6.159079418281223e+42
70.0 26746.133589814246 1474.1509643257903 190638149098735.97 2096180940701.4482 1.3251242031747854e+43 2.9359417248446717e+42
276.0 23863.75523408939 1827.971309742467 129475080723445.42 3758015092377.111 3.87365062039186e+42 1.208004953272822e+42
296.0 24364.748351902002 1599.576295619565 129032591861046.95 3239649735617.8853 4.180608368999583e+42 1.1177393062519293e+42
217.8 22405.865261254683 2492.6008008401122 155848851349332.47 4516046291072.826 4.3616118530532744e+42 1.957268015867527e+42
224.5 22573.69795572191 2416.08847110894 151248148360934.06 6572928631770.198 4.232372607801043e+42 1.848946139972508e+42
231.0 22736.52071901101 2341.860091518997 144467124177169.8 4935916193766.92 3.9739921633852934e+42 1.659650358392662e+42
238.0 22911.868310245423 2261.921836575981 146506957994114.78 4322222989852.9023 4.2145522524343204e+42 1.6827637449150135e+42
242.9 23034.611624109515 2205.96505811587 144554236412457.5 5418587353529.422 4.19158374661431e+42 1.6361292205224355e+42
248.2 23167.374800329857 2145.440379373301 143166699143235.8 5206348825191.714 4.207113665387081e+42 1.5881734002927215e+42
253.0 23287.613148604883 2090.6255759838045 143468434438243.56 3578609441129.006 4.3132591617878694e+42 1.5637517198461145e+42
257.8 23407.85149687991 2035.8107725943078 142294709242052.22 3228869188179.7246 4.331283812327292e+42 1.5195564367009037e+42
262.4 23523.07991397681 1983.2799193460405 139135065174237.2 2794082737619.65 4.223211683330694e+42 1.4343357357910486e+42
267.9 23660.85302137528 1920.4712904622425 135197867064707.9 3073914300118.036 4.081823240613821e+42 1.3381663543085512e+42
306.7 24515.046287245787 1531.0577913826942 122421729318148.11 2478799849099.28 3.8569216199756523e+42 9.760950887742425e+41
313.7 24515.046287245787 1531.0577913826942 122854468069118.11 4440810507164.665 3.884236857728875e+42 1.0101557641809354e+42
320.9 24515.046287245787 1531.0577913826942 111076266874480.14 4335581213931.417 3.175165329668961e+42 8.310310237553404e+41
327.5 24515.046287245787 1531.0577913826942 101227681045666.03 3025899784920.7773 2.637074318108652e+42 6.7738306245501915e+41
334.3 24515.046287245787 1531.0577913826942 97132389626729.67 2742262462646.124 2.4280182110230252e+42 6.218564921947704e+41
341.4 24515.046287245787 1531.0577913826942 97622375616816.62 3003625939493.2896 2.4525763554226137e+42 6.3100487807243696e+41
