phase UVW2.uvot-lum UVW2.uvot-elum UVM2.uvot-lum UVM2.uvot-elum UVW1.uvot-lum UVW1.uvot-elum U.uvot-lum U.uvot-elum g.ztf-lum g.ztf-elum r.ztf-lum r.ztf-elum
-50.0 1.3469609732080096e+43 9.699306542362753e+42 1.7684380687648228e+43 1.2549476802995024e+43 1.1342119140274839e+43 8.08805996567297e+42 1.685582303830279e+43 1.2296231726919033e+43 3.965582648793261e+41 8.508965383598628e+40 2.2363751270270958e+41 3.9985457674422625e+40
-45.0 1.3403785683363145e+43 8.62029736342189e+42 1.574980638980042e+43 9.956099207636664e+42 1.0760500343088048e+43 6.855334501005955e+42 1.2238595854258898e+43 8.03913149590172e+42 7.451938242240182e+41 8.2294078945045865e+40 3.4738443615456067e+41 3.8547149133519314e+40
-40.0 1.3327848760623773e+43 7.250518072468749e+42 1.4243211549002152e+43 7.594693852773855e+42 1.0232420835571619e+43 5.52303914704609e+42 9.315047520248449e+42 5.240352005264386e+42 1.2522194086792908e+42 2.558027328138719e+41 5.147201161634495e+41 5.939930331468116e+40
-35.0 1.3355317673836365e+43 5.61571876255525e+42 1.3206598587558984e+43 5.427016120427989e+42 9.814162724549305e+42 4.112693842346434e+42 7.496216252169597e+42 3.3280409152292974e+42 1.896750281197464e+42 6.996784172125444e+41 7.607601090963509e+41 9.623012956476474e+40
-30.0 1.3652592964709525e+43 3.7429686075472803e+42 1.2735940793357676e+43 3.40268553750466e+42 9.579880551967996e+42 2.6496427581973244e+42 6.472100548276316e+42 1.9541041353858178e+42 2.6362803240192882e+42 1.3442853379668246e+42 1.0825917037386547e+42 7.65618371703075e+40
-25.0 1.4488293532663171e+43 1.707550453250864e+42 1.304172347072147e+43 1.4942415620058008e+42 9.639705021037998e+42 1.2011001344676652e+42 6.134820700186334e+42 9.087094040862244e+41 3.409390115683707e+42 2.1200997454538345e+42 1.403293887772392e+42 1.0672737648954877e+41
-10.0 2.0444342249362372e+43 3.196261847443837e+42 1.784640299777041e+43 2.7871618118821835e+42 1.2967230697804334e+43 2.104919329664201e+42 8.452244205685897e+42 1.5366661204692074e+42 5.2934250673341556e+42 4.3342036794500296e+42 1.9515166585311462e+42 5.995646579052608e+40
-5.0 2.087628015580352e+43 6.509376161128637e+42 1.7928327406966672e+43 5.5121579543451e+42 1.3319122889513393e+43 4.1752366548155576e+42 8.472693787912317e+42 2.841172018740446e+42 5.628123230560372e+42 4.799127027131232e+42 1.8249430273659552e+42 9.226981060066533e+40
0.0 2.0455885715797123e+43 9.23126756150262e+42 1.72831349152251e+43 7.671891350347931e+42 1.3087528369745576e+43 5.878419806468833e+42 8.071275766713148e+42 3.8032251894122586e+42 5.790514826727503e+42 5.07684869803005e+42 1.6823906245942542e+42 3.230185846840833e+41
50.0 1.0140180781322128e+43 6.716964446980103e+42 8.329704592528377e+42 5.431624640916592e+42 7.329023830355863e+42 4.805311635980841e+42 3.697944240078647e+42 2.5035111656687017e+42 2.904247232087498e+42 2.6012711844799544e+42 1.2804574927712518e+42 4.2027424421668205e+41
