obsid mjd_start mjd_end mjd ra_xrt dec_xrt exptime cr cr_unc fl fl_unc fl0 fl0_unc L L_unc L0 L0_unc L_0.5keV L_0.5keV_unc L0_0.5keV L0_0.5keV_unc L_2keV L_2keV_unc L0_2keV L0_2keV_unc L_0.5-10keV L_0.5-10keV_unc L0_0.5-10keV L0_0.5-10keV_unc HR HR_unc L_2500 L_2500_unc alpha_OX_obs alpha_OX alpha_OX_unc alpha_OSX_obs alpha_OSX alpha_OSX_unc L1 L2 L3 eL1 eL2 eL3 Lbol eLbol
14217001 59299.044340277775 59299.12174768518 59299.083043981474 0.0 0.0 2669.59508413118 0.0018729432151420261 0.0 6.630218981602773e-14 3.5816890876793416e-14 1.2548719541451574e-13 6.778903075551296e-14 4.846032335071706e+40 2.617859407242645e+40 9.171869108751533e+40 4.954705657775627e+40 3.193368181817155e+40 1.725079066241039e+40 6.80187422727054e+40 3.674418411093413e+40 6.798783870965554e+39 3.672748979738986e+39 7.002747387094521e+39 3.7829314491311557e+39 4.1223480165275995e+40 2.2269202491475227e+40 5.633813191147215e+40 3.043423947949e+40 0.21951219512195122 1.5879390480738194 1.0046931675079555e+43 4.912667096361069e+41 -2.2164555742616403 -2.2245877748449168 0.09040816871223695 -2.2466827399547773 -2.4105820639849362 0.11757559070514831 2.7701450135010375e+43 0.0 0.0 1.1949929642459637e+43 0.0 3.043423947949e+40 2.7701450135010375e+43 1.1949968397559394e+43
14217003 59301.244097222225 59301.38951388889 59301.31680555556 0.0 0.0 1475.902840430315 0.002710205502981319 0.0 9.59412748055387e-14 5.6214502211596317e-14 1.815837686997484e-13 1.0639467932703257e-13 7.012355417908819e+40 4.1087224445112096e+40 1.3271972118640986e+41 7.776395587069238e+40 4.62090038258315e+40 2.7075063918297094e+40 9.842517814902108e+40 5.766988614597281e+40 9.838045975822189e+39 5.764368447121317e+39 1.0133187355096855e+40 5.937299500534957e+39 5.965162312061884e+40 3.4951446149074436e+40 8.152298152967809e+40 4.776644707697224e+40 1.0 0.0 9.974219174266951e+42 5.334005106452269e+41 -2.15365550270091 -2.1617877032841863 0.09806637159147559 -2.1650114085336036 -2.3289107325637626 0.1275350638378507 2.920022690379346e+43 0.0 0.0 1.3006034651427677e+43 0.0 4.776644707697224e+40 2.920022690379346e+43 1.3006122365547842e+43
14217004 59304.02962962963 59304.049212962964 59304.0394212963 0.0 0.0 1683.165944635728 0.002376473937550871 0.0 8.412717738930084e-14 4.929231354324307e-14 1.5922375381590836e-13 9.329336179088378e-14 6.148862096683161e+40 3.602779123342085e+40 1.163767684965457e+41 6.818819244743494e+40 4.0518880635242357e+40 2.3741071918426393e+40 8.630521575306622e+40 5.056848318624822e+40 8.626600393309662e+39 5.054550795535942e+39 8.885398405108952e+39 5.2061873194020205e+39 5.230619136549468e+40 3.0647565567423164e+40 7.148433604153021e+40 4.188454212939976e+40 1.0 0.0 1.1318872886443568e+43 5.419744501078483e+41 -2.196637251891957 -2.2047694524752335 0.0979860022686382 -2.2209090627241577 -2.3848083867543166 0.12743054374036641 2.9998573889428526e+43 0.0 0.0 8.939676142875353e+42 0.0 4.188454212939976e+40 2.9998573889428526e+43 8.939774261935484e+42
14217005 59306.02116898148 59306.036724537036 59306.02894675926 0.0 0.0 1336.046183427533 0.002993908481320818 0.0 1.0598436023875696e-13 5.035408032337923e-14 2.005918682484948e-13 9.530292038605674e-14 7.746405332222481e+40 3.680383741879149e+40 1.4661275628782661e+41 6.965698042539632e+40 5.104613960651995e+40 2.425245959078011e+40 1.0872827736188749e+41 5.165773892836163e+40 1.0867887787194569e+40 5.163426880617701e+39 1.1193924420810407e+40 5.318329687036232e+39 6.589592567387121e+40 3.1307720562643415e+40 9.00567671181302e+40 4.278674395839682e+40 0.5000000000000001 -1.8680586204357224 1.1981380861297185e+43 5.951738466467808e+41 -2.1676221916345777 -2.175754392217854 0.07962136127630268 -2.183175051542433 -2.347074375572592 0.10354737539930067 3.1322341539613214e+43 0.0 0.0 6.505034059580381e+42 0.0 4.278674395839682e+40 3.1322341539613214e+43 6.505174772576012e+42
14217006 59396.22980324074 59397.834641203706 59397.032222222224 46.94832499999999 40.31141888888889 4078.09174797617 0.0434 0.0035 1.200910871142781e-12 3.212088666393453e-13 2.2730011201774227e-12 6.079619489058209e-13 8.77746712325061e+41 2.347718164913034e+41 1.661338329336937e+42 4.443598727381117e+41 5.783402476797826e+41 1.5521433305694824e+41 1.231864727557937e+42 3.3060652941129973e+41 1.2296553481869272e+41 1.0465722338722039e+41 1.266545008632535e+41 1.0779694008883701e+41 7.464691496333828e+41 2.1339494578204417e+41 1.0200584967883985e+42 2.9160659582995732e+41 -0.3845263908477671 0.11907916727892824 4.5575587132823374e+42 2.422658953845355e+41 -1.6021438872074099 -1.6102760877906865 0.14213695196819623 -1.4474813595260947 -1.6113806835562534 0.05930477139863061 2.291285380813162e+42 7.010423432597419e+42 1.0200584967883985e+42 4.969936645658869e+40 2.1031270297792256e+42 2.9160659582995732e+41 1.0321767310198979e+43 2.1238285564389864e+42
14217007 59404.79094907407 59404.80685185185 59404.79890046296 46.94683333333332 40.31104722222222 1366.013247462477 0.0145 0.0037 4.266979013873263e-13 1.5221142958697517e-13 8.076243051308299e-13 2.880952769007509e-13 3.118738360177598e+41 1.1125145513182749e+41 5.902932479475532e+41 2.1056906737414896e+41 2.05491161669607e+41 7.34426799003114e+40 4.3769617435626285e+41 1.5643290818766328e+41 4.369111556145462e+40 3.8589337872858626e+40 4.500184902829826e+40 3.9747018009044384e+40 2.6522935819195924e+41 9.832501234573926e+40 3.624389039444135e+41 1.3436223632196325e+41 -0.9003645200486027 0.5390520063706512 3.0744598700504853e+42 2.780476957527803e+41 -1.7090007864475645 -1.7171329870308412 0.14798402963348445 -1.5864484819447702 -1.750347805974929 0.07991306837232043 1.8285227571914354e+42 3.968806362261077e+42 3.624389039444135e+41 4.795216236520976e+40 1.190641908678323e+42 1.3436223632196325e+41 6.159768023396926e+42 1.19915836115423e+42
14217008 59411.095821759256 59411.11172453704 59411.10377314815 46.94842083333333 40.31318861111111 1348.532354230874 0.0224 0.0044 6.517574343510344e-13 2.1120319063641344e-13 1.2336014386764006e-12 3.997508061899596e-13 4.76370027936087e+41 1.5436858027379293e+41 9.016402741756335e+41 2.92178182672819e+41 3.1387637922789803e+41 1.0194755287264818e+41 6.6855668775542276e+41 2.171482876187406e+41 6.673576150640521e+40 5.809682263824966e+40 6.873783435159736e+40 5.983972731739715e+40 4.0512316898612535e+41 1.374985180390582e+41 5.5360537133128765e+41 1.878932728706057e+41 -0.2747784045124899 0.2582777974106352 3.5058454043064594e+42 2.8493683998005635e+41 -1.6602821300187323 -1.668414330602009 0.14573170570751676 -1.523089994657926 -1.6869893186880847 0.0725757199155894 1.5951624755520033e+42 4.888701338567547e+42 5.5360537133128765e+41 3.57302581042987e+40 1.4666104015702642e+42 1.878932728706057e+41 7.037469185450839e+42 1.4790289393140077e+42
14217009 59418.07241898148 59418.53810185185 59418.305260416666 46.94817916666666 40.31059944444444 1141.279381946396 0.0453 0.007 1.2131943338052246e-12 3.647936911128756e-13 2.2962504095812426e-12 6.904562931836753e-13 8.867247049696505e+41 2.666279994172698e+41 1.678331253481822e+42 5.046550546831249e+41 5.842557748094545e+41 1.761510542577084e+41 1.244464800344138e+42 3.752017455689188e+41 1.2422328224359154e+41 1.07096138870585e+41 1.2794998071089928e+41 1.1030902303670256e+41 7.541043756509991e+41 2.3917822652882687e+41 1.0304921190995075e+42 3.2683973924084513e+41 -0.10170316402893208 0.17439225730516755 2.612823315170727e+42 2.79381800955636e+41 -1.5077159649788696 -1.5158481655621463 0.14479764906092277 -1.3246780897195947 -1.4885774137497534 0.0693416708016334 1.5584107581281005e+42 4.786395693973834e+42 1.0304921190995075e+42 5.535339554603968e+40 1.4359187081921503e+42 3.2683973924084513e+41 7.375298571201441e+42 1.473686109753944e+42
14217010 59425.101956018516 59425.64365740741 59425.37280671296 46.94789583333333 40.311406388888884 1366.023384016263 0.0672 0.0078 1.656622383126057e-12 2.2257359577376508e-13 4.404498384559518e-12 5.917613168918265e-13 1.2108266194387051e+42 1.6267921844598064e+41 3.21925137775567e+42 4.325188178941831e+41 1.3610663499048035e+42 1.9785566478917763e+41 2.8990713252972315e+42 4.214325660009483e+41 1.2190283106662425e+41 2.6700648287335335e+40 1.2555991599862297e+41 2.75016677359554e+40 8.378760985427605e+41 1.212223531328543e+41 1.2179915684092897e+42 1.762167512300924e+41 -0.8304195804195803 0.22207286471096124 2.8902184871882035e+42 2.413726279876197e+41 -1.5276767221057779 -1.5358089226890546 0.039071333476420826 -1.1632363861041362 -1.3271357101342949 0.03634026162548823 1.619265669565016e+42 6.881609470038462e+42 1.2179915684092897e+42 7.09977341837306e+40 2.0644828410115384e+42 1.762167512300924e+41 9.718866708012767e+42 2.0732058321605176e+42
14217011 59434.06429398148 59434.87490740741 59434.46960069444 46.94846666666666 40.31143472222222 1925.410404218949 0.11 0.0085 2.8441382449973787e-12 2.759862087686244e-13 7.56177293820959e-12 7.337706064240804e-13 2.078782908817225e+42 2.0171853983068526e+41 5.5269058640014156e+42 5.363135207333196e+41 2.336718916255689e+42 2.6122265029923072e+41 4.977211291624617e+42 5.564042451373614e+41 2.0928638145996765e+41 4.151067998277687e+40 2.1556497290376667e+41 4.275600038226018e+40 1.4384904373547426e+42 1.5951656500469639e+41 2.0910839048669347e+42 2.3188372545205996e+41 -0.7054786274657131 0.13281849842053706 2.4209451315907893e+42 2.1311306576895015e+41 -1.4080603735765447 -1.4161925741598214 0.03616906947159126 -1.007675632727059 -1.1715749567572178 0.030843006456832495 1.49386741356897e+42 7.716126072360228e+42 2.0910839048669347e+42 6.138585790747387e+40 2.3148378217080683e+42 2.3188372545205996e+41 1.1301077390796134e+43 2.3272327830474366e+42
